Item,Profile
DISP Metaku Spongie 7500 Puffs - Cherry Strawberry Raspberry,"Cherry, Strawberry, Raspberry, Fruit"
DISP Metaku Spongie 7500 Puffs - Green Apple Ice,"Green Apple, Ice, Apple, Sour Apple, Menthol"
DISP Metaku Spongie 7500 Puffs - Gum Mint,"Mint, Gum, Spearmint, Ice, Menthol"
DISP Metaku Spongie 7500 Puffs - Meta Grape,"Grape, Fruit"
DISP Metaku Spongie 7500 Puffs - Strawberry Kiwi,"Strawberry, Kiwi, Fruit"
DISP Metaku Spongie 7500 Puffs - Strawberry Peach Mint,"Strawberry, Peach, Mint, Ice, Menthol, Fruit"
DISP Metaku Spongie 7500 Puffs - Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum, Fruit, Candy"
DISP Metaku Spongie 7500 Puffs - Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP Metaku Spongie 7500 Puffs - Cherry Ice,"Cherry, Ice, Menthol, Fruit"
DISP Metaku Spongie 7500 Puffs - Strawberry Ice,"Strawberry, Ice, Menthol, Fruit"
DISP Metaku Spongie 7500 Puffs - Peach Ice,"Peach, Ice, Sweet, Menthol, Fruit"
DISP Metaku Spongie 7500 Puffs - Blue Razz Lemon,"Blue Razz, Blue Raspberry, Fruit, Candy, Lemon"
DISP Metaku Spongie 7500 Puffs - Lemon Lime,"Lemon, Lime, Fruit, Citrus"
DISP MINT by MNKE Bars 6500 Puffs 5% Cucumber Mint,"Cucumber, Mint, Ice Menthol"
DISP MINT by MNKE Bars 6500 Puffs 5% Fresh Mint,"Mint, Ice, Menthol, Spearmint"
DISP MINT by MNKE Bars 6500 Puffs 5% Pineapple Mint,"Pineapple, Mint, Ice, Menthol"
DISP MINT by MNKE Bars 6500 Puffs 5% Raspberry Mint,"Mint, Raspberry, Fruit"
DISP MINT by MNKE Bars 6500 Puffs 5% Spearmint,"Mint, Spearmint, Ice, Menthol"
DISP MINT by MNKE Bars 6500 Puffs 5% Strawberry Mint,"Mint, Strawberry, Menthol, Ice, Fruit"
DISP Nicless Next 0% NICOTINE FREE - Blue Razz Lemonade,"Blue Razz, Lemonade, Blue Raspberry, Candy, Fruit"
DISP Nicless Next 0% NICOTINE FREE - Cherry Lemonade,"Cherry, Lemonade, Fruit"
DISP Nicless Next 0% NICOTINE FREE - Cool Mint,"Mint, Cool, Ice, Menthol"
DISP Nicless Next 0% NICOTINE FREE - Pink Lemonade,"Citrus, Lemonade, Lemon, Strawberry, Fruit"
DISP Nicless Next 0% NICOTINE FREE - Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Fruit"
DISP Nicless Next 0% NICOTINE FREE - Spearmint,"Mint, Spearmint, Ice, Menthol"
DISP Nicless Next 0% NICOTINE FREE - Watermelon Mango,"Watermelon, Mango, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Banana Ice,"Banana, Ice, Menthol, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Blue Razz Lemonade,"Blue Razz, Lemonade, Blue Raspberry, Candy, Fruit, Lemon"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Clear,"Flavorless, Mint, Ice, Menthol"
